start_date	end_date	session_time	cycleId
2024-11-11 03:13:59.737762	 2024-11-11 03:25:23.168725	 683.430963	 579.0
2024-11-11 03:25:23.168725	 2024-11-11 03:36:46.480456	 683.311731	 580.0
2024-11-11 03:36:46.480456	 2024-11-11 03:48:09.828398	 683.347942	 581.0
2024-11-11 03:48:09.828398	 2024-11-11 03:59:33.255330	 683.426932	 582.0
2024-11-11 03:59:33.255330	 2024-11-11 04:10:56.572493	 683.317163	 583.0
2024-11-11 04:10:56.572493	 2024-11-11 04:22:19.948694	 683.376201	 584.0
2024-11-11 04:22:19.948694	 2024-11-11 04:33:43.436080	 683.487386	 585.0
2024-11-11 04:33:43.436080	 2024-11-11 04:45:06.866618	 683.430538	 586.0
2024-11-11 04:45:06.866618	 2024-11-11 04:56:30.148296	 683.281678	 587.0
2024-11-11 04:56:30.148296	 2024-11-11 05:07:53.506574	 683.358278	 588.0
2024-11-11 05:07:53.506574	 2024-11-11 05:19:17.084741	 683.578167	 589.0
2024-11-11 05:19:17.084741	 2024-11-11 05:30:40.481388	 683.396647	 590.0
2024-11-11 05:30:40.481388	 2024-11-11 05:42:03.747735	 683.266347	 591.0
2024-11-11 05:42:03.747735	 2024-11-11 05:53:27.207321	 683.459586	 592.0
2024-11-11 05:53:27.207321	 2024-11-11 06:04:50.610766	 683.403445	 593.0
2024-11-11 06:04:50.610766	 2024-11-11 06:16:13.931355	 683.320589	 594.0
2024-11-11 06:16:13.931355	 2024-11-11 06:27:37.298291	 683.366936	 595.0
2024-11-11 06:27:37.298291	 2024-11-11 06:39:00.666096	 683.367805	 596.0
2024-11-11 06:39:00.666096	 2024-11-11 06:50:24.223613	 683.557517	 597.0
2024-11-11 06:50:24.223613	 2024-11-11 07:01:47.610339	 683.386726	 598.0
2024-11-11 07:01:47.610339	 2024-11-11 07:13:11.016864	 683.406525	 599.0
2024-11-11 07:13:11.016864	 2024-11-11 07:24:34.439668	 683.422804	 600.0
2024-11-11 07:24:34.439668	 2024-11-11 07:35:57.715781	 683.276113	 601.0
2024-11-11 07:35:57.715781	 2024-11-11 07:47:21.143229	 683.427448	 602.0
2024-11-11 07:47:21.143229	 2024-11-11 07:58:44.547040	 683.403811	 603.0
2024-11-11 07:58:44.547040	 2024-11-11 08:10:07.843013	 683.295973	 604.0
2024-11-11 08:10:07.843013	 2024-11-11 08:21:31.226612	 683.383599	 605.0
2024-11-11 08:21:31.226612	 2024-11-11 08:32:54.599490	 683.372878	 606.0
2024-11-11 08:32:54.599490	 2024-11-11 08:44:18.066136	 683.466646	 607.0
2024-11-11 08:44:18.066136	 2024-11-11 08:55:41.481962	 683.415826	 608.0
2024-11-11 08:55:41.481962	 2024-11-11 09:07:04.999185	 683.517223	 609.0
2024-11-11 09:07:04.999185	 2024-11-11 09:18:28.327511	 683.328326	 610.0
2024-11-11 09:18:28.327511	 2024-11-11 09:29:51.615606	 683.288095	 611.0
2024-11-11 09:29:51.615606	 2024-11-11 09:41:15.071223	 683.455617	 612.0
2024-11-11 09:41:15.071223	 2024-11-11 09:52:38.310588	 683.239365	 613.0
2024-11-11 09:52:38.310588	 2024-11-11 10:04:01.686386	 683.375798	 614.0
2024-11-11 10:04:01.686386	 2024-11-11 10:15:25.130471	 683.444085	 615.0
2024-11-11 10:15:25.130471	 2024-11-11 10:26:48.529682	 683.399211	 616.0
2024-11-11 10:26:48.529682	 2024-11-11 10:38:11.961213	 683.431531	 617.0
2024-11-11 10:38:11.961213	 2024-11-11 10:49:35.208439	 683.247226	 618.0
2024-11-11 10:49:35.208439	 2024-11-11 11:00:58.609934	 683.401495	 619.0
2024-11-11 11:00:58.609934	 2024-11-11 11:12:22.053626	 683.443692	 620.0
2024-11-11 11:12:22.053626	 2024-11-11 11:23:45.323067	 683.269441	 621.0
2024-11-11 11:23:45.323067	 2024-11-11 11:35:08.938230	 683.615163	 622.0
2024-11-11 11:35:08.938230	 2024-11-11 11:46:32.142648	 683.204418	 623.0
2024-11-11 11:46:32.142648	 2024-11-11 11:57:55.586211	 683.443563	 624.0
